SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE FORM,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE,DATA_QUALITY_SCORE,LAST_UPDATED
glycine max,,soybean,glycine,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
gomphocarpus fruticopus,,narrow-leaf cotton,gomphocarpus,apocynaceae,gentianales,dicots,,dog-banes,hemicryptophyte,petra desert,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
gomphrena globosa,,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,,,hemicryptophyte,luang prabang,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
gossypium hirsutum,,cotton,gossypium,malvaceae,malvales,dicots,,mallows,hemicryptophyte,Fifty Plants,herb,,Central America,,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
graptopetalum paraguayense,,ghost-plant,graptopetalum,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
grevillea robusta,,silk oak,grevillea,proteaceae,proteales,dicots,,proteas,phanerophyte,around amman,tree,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hamelia patens,,firebush,hamelia,rubiaceae,gentianales,dicots,,madder,phanerophyte,yarmouk river,shrub,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hebe speciosa,,veronica speciosa,hebe,plantaginaceae,lamiales,dicots,hebes,,phanerophyte,around amman,shrub,,,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hedera helix,,common ivy,hedera,araliaceae,apiales,dicots,,aralia,phanerophyte,Amman garden,vine,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hedychium coronarium,,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
helianthus annuus,,sunflower,helianthus,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Fifty plants,herb,,North America,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
helianthus annuus,,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,,hemicryptophyte,around amman,herb,,North America,northern,Both,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
heliconia bihai,,red palulu,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
heliconia latispatha,,expanded lobsterclaw,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,Kew,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
heliconia rostrata,,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
heliopsis helianthoides,,false sunflower,heliopsis,asteraceae,asterales,dicots,oxeyes,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hellenia speciosa,,crepe ginger,hellenia,costaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
helminthotheca echioides,,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hemerocallis lilioasphodelus,,yellow daylily,hemerocallis,asphodelaceae,asparagales,monocots,,,hemicryptophyte,london,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
heracleum sphondylium,,cow parsnip,heracleum,apiaceae,apiales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
heuchera americana,,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
heuchera micrantha,,crevice alumroot,heuchera,saxifragaceae,saxifragales,dicots,alumroots,,hemicryptophyte,greenwich,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hevea brasiliensis,,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,,spurges,phanerophyte,Fifty plants,tree,,South America,southern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hibbertia scandens,,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,,,phanerophyte,sydney,vine,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hibiscus moscheutos,,rose mallow,hibiscus,malvaceae,malvales,dicots,,,hemicryptophyte,new york,herb,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hibiscus rosa-sinensis,,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallows,phanerophyte,yarmouk river,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hibiscus sabdariffa,,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,,hemicryptophyte,luang prabang,herb,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hibiscus syriacus,,common hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,,phanerophyte,around amman,shrub,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hibiscus tiliaceus,,sea hibiscus,hibiscus,malvaceae,malvales,dicots,,,phanerophyte,,tree,,,both,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
holcus lanatus,,tufted grass,holcus,poaceae,poales,monocots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
homalanthus populifolius,,bleeding heart,homalanthus,euphorbiaceae,malpighiales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hordeum murinum,,wild barley,hordeum,poaceae,poales,monocots,,,hemicryptophyte,kintbury,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hordeum vulgare,,barley,hordeum,poaceae,poales,monocots,barleys,grasses,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
humulus lupulus,,hop,humulus,cannabaceae,rosales,dicots,,,phanerophyte,Fifty plants,vine,,,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hydrangea arborescens,,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,phanerophyte,knighton,shrub,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hydrangea macrophylla,,mophead hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,,phanerophyte,greenwich,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hydrangea quercifolia,,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,phanerophyte,new york,shrub,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
hylocomium splendens,,stairstep moss,hylocomium,hylocomiaceae,hypnales,mosses,hylocomium,,hemicryptophyte,charlevoix,herb,,,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hylodesmum glutinosum,,pointed-leaved tick-trefoil,hylodesmum,fabaceae,fabales,dicots,,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hylotelephium telephium,,orpine,hylotelephium,crassulaceae,saxifragales,dicots,,,hemicryptophyte,greenwich,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hymenocallis littoralis,,beach spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,,,hemicryptophyte,jakarta,herb,,,both,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
