SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE FORM,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE,DATA_QUALITY_SCORE,LAST_UPDATED
lavandula stoechas,,topped lavender,lavandula,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,garden,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lemmaphyllum microphyllum,,green penny fern,lemmaphyllum,polypodiacea,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
leonurus cardiaca,,common motherwort,leonorus,lamiaceae,lamiales,dicots,,,hemicryptophyte,greenwich,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
leucadendron argenteum,,cape silver tree,leucadendron,proteaceae,proteales,dicots,,,phanerophyte,Kew,tree,,Africa,southern,Cultivated,Moderate,Limited,Rare,bred,,,0.0,2025-08-27T02:28:19.554278
leucophyllum frutescens,,cenizo,leucophyllum,scrophulariaceae,lamiales,dicots,,,phanerophyte,Expo,shrub,,North America,northern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
leucospermum conocarpodendron,,grey tree-pincushion,leucospermum,proteaceae,proteales,dicots,,,phanerophyte,kew,shrub,,Africa,southern,Cultivated,Moderate,Limited,Locally common,bred,,,0.0,2025-08-27T02:28:19.554278
leymus mollis,,american dune grass,leymus,poaceae,poales,monocots,,,hemicryptophyte,sooke,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
liatris pycnostachya,,prairie blazing star,liatris,asteraceae,asterales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
libertia ixioides,,mikoikoi,libertia,iridaceae,asparagales,monocots,,,hemicryptophyte,Kew,herb,,,southern,Both,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
ligustrum lucidum,,tree privet,ligustrum,oleaceae,lamiales,dicots,privets,olive,phanerophyte,Amman garden,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lilium bulbiferum,,fire lily,lilium,liliaceae,liliales,monocots,lilies,lilies,geophyte,Flower bouquet,herb,,Europe,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lilium lancifolioum,,tiger lily,lilium,liliaceae,liliales,monocots,lilies,lilies,hemicryptophyte,Flower bouquet,herb,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lilium martagon,,martagon lily,lilium,liliaceae,liliales,monocots,,,hemicryptophyte,sooke,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
linaria purpurea,,,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,hemicryptophyte,knighton,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
linaria vulgaris,,common toadflax,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
linum usitatissimum,,flax/linseed,linum,linaceae,malpighiales,dicots,,flaxes,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
Liquidambar formosana,,Chinese sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,phanerophyte,Kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
Liquidambar styraciflua,,American sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,phanerophyte,Kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
liriodendron tulipifera,,tulip tree,liriodendron,magnoliaceae,magnoliales,early angiosperms,,,phanerophyte,kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lobularia maritima,,sweet alyssym,lobularia,brassicaceae,brassicales,dicots,,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lonicera implexa,,mediterranean honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,phanerophyte,amman,vine,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lonicera japonica,,japanese honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,phanerophyte,Amman garden,vine,,Asia,northern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lonicera morrowii,,morrow's honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,honeysuckles,,phanerophyte,greenwich,shrub,,Asia,northern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lonicera periclymenum,,common honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,,phanerophyte,knighton,vine,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
ludwigia palustris,,water purslane,ludwigia,onagraceae,myrtales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
luffa cylindrica,,sponge gourd,luffa,cucurbitaceae,cucurbitales,dicots,,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lunaria annua,,honesty,lunaria,brassicaceae,brassicales,dicots,,,therophyte,knighton,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lycoris radiata,,red spider lily,lycoris,amaryllidaceae,asparagales,monocots,,,hemicryptophyte,perth,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lysimachia clethroides,,gooseneck loosestrife,lysimachia,primulaceae,ericales,dicots,,,hemicryptophyte,greenwich,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lysimachia punctata,,dotted loosestrife,lysimachia,primulaceae,ericales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
maackia chinensis,,chinese maackia,maackia,fabaceae,fabales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
magnolia grandiflora,,southern magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,magnolias,magnolia,phanerophyte,Office,tree,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
magnolia macrophylla,,bigleaf magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,,,phanerophyte,new york,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
maleleuca viminalis,,weeping bottlebrush,maleleuca,myrtaceae,myrtales,dicots,tea trees,myrtles,phanerophyte,Amman garden,tree,Australia,Oceania,southern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
mallotus paniculatus,,turn-in-the-wind,mallotus,euphorbiaceae,malpighiales,dicots,,spurges,phanerophyte,Expo,tree,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
malva moschata,,musk mallow,malva,malvaceae,malvales,dicots,mallows,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
malva parviflora,,cheeseweed mallow,malva,malvaceae,malvales,dicots,,mallows,hemicryptophyte,amman,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
malva sylvestris,,common mallow,malva,malvaceae,malvales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
mangifera indica,,indian mango,mangifera,anacardiaceae,sapindales,dicots,mangoes,cashews and sumac,phanerophyte,yarmouk river,tree,,,,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
manihot esculenta,,cassava,manihot,euphorbiaceae,malpighiales,dicots,,,hemicryptophyte,jakarta,herb,,South America,southern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
mastocarpus papillatus,,grapestone,mastocarpus,phyllophoraceae,gigartinales,algae,red algae,,hemicryptophyte,nanaimo,herb,,,,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
matthiola incana,,hoary stock,matthiola,brassicaceae,brassicales,dicots,,mustard and cabbage,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
medicago sativa,,alfalfa,medicago,fabaceae,fabales,dicots,,,hemicryptophyte,azraq,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
melia azedarach,,chinaberry,melia,meliaceae,sapindales,dicots,,mahogany and chinaberry,phanerophyte,Amman garden,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
melicope ternata,,wharangi,melicope,rutaceae,sapindales,dicots,,,phanerophyte,Kew,tree,,,southern,Wild,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
mentha aquatica,,water mint,mentha,lamiaceae,lamiales,dicots,mints,,hemicryptophyte,greenwich,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
mentha longifolia,,horse mint,mentha,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,rum desert,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
mentha spicata,,spearmint,mentha,lamiaceae,lamiales,dicots,mints,mints,hemicryptophyte,Amman garden,herb,,Europe,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
mesembryanthemum cordifolum,,heart-leaf ice plant,mesembryanthemum,aizoaceae,caryophyllales,dicots,ice plants,fig-marigolds,hemicryptophyte,Amman garden,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
metasequoia glyptostroboides,,dawn redwood,metasequoia,cupressaceae,cupressales,conifers,,,phanerophyte,sooke,tree,China,East Asia,northern,Both,Moderate,Limited,Rare,natural,,,0.0,2025-08-27T02:28:19.554278
mirabilis jalapa,,marvel of peru,mirabilis,nyctaginaceae,caryophyllales,dicots,four o'clocks,,hemicryptophyte,around amman,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
monarda didyma,,scarlet beebalm,monarda,lamiaceae,lamiales,dicots,beebalms and bergamots,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
monarda fistulosa,,wild bergamot,monarda,lamiaceae,lamiales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
monarda punctata,,horsemint,monarda,lamiaceae,lamiales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
monstera deliciosa,,swiss cheese plant,monstera,araceae,alismatales,monocots,,arums,phanerophyte,Office,vine,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
morus alba,,white mulberry,morus,moraceae,rosales,dicots,mulberries,,phanerophyte,around amman,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
musa acuminata,,cavendish banana,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,Expo,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
musa ornata,,flowering banana,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
musa velutina,,,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
musa x paradisiaca,,plantain,musa,musaceae,zingiberales,monocots,bananas,bananas,hemicryptophyte,yarmouk river,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
muscari neglectum,,grape hyacinth,muscari,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
myoporum insulare,,australian ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,phanerophyte,Amman garden,shrub,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
myoporum laetum,,ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,phanerophyte,around amman,shrub,,,southern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
myristica fragrans,,nutmeg,myristica,myristicaceae,magnoliales,early angiosperms,,,phanerophyte,Fifty plants,tree,,Asia,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
myrtus communis,,myrtle,myrtus,myrtaceae,myrtales,dicots,,,phanerophyte,,shrub,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nandina domestica,,heavenly bamboo,nandina,berberidaceae,ranunculales,dicots,,barberry,phanerophyte,Office,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
nelumbo lutea,,,nelumbo,nelumbonaceae,proteales,dicots,,,hemicryptophyte,lombok,herb,,North America,northern,Wild,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
nelumbo nucifera,,sacred lotus,nelumbo,nelumbonaceae,proteales,dicots,,,hemicryptophyte,yogyakarta,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nephelium lappaceum,,rambutan,nephelium,sapindaceae,sapindales,dicots,,,phanerophyte,yogyakarta,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
nereocystis luetkeana,,bull kelp,nereocystis,laminariaceae,laminariales,algae,,,hemicryptophyte,sooke,herb,,,,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nerium oleander,,oleander,nerium,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Amman garden,shrub,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
nesiota elliptica,,st helena olive,nesiota,rhamnaceae,rosales,dicots,,,phanerophyte,kew,shrub,,,,Wild,Low,None,Very rare/Endangered,natural,,,0.0,2025-08-27T02:28:19.554278
nicotiana tabacum,,tobacco,nicotiana,solanaceae,solanales,dicots,,nightshades,hemicryptophyte,Fifty plants,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
nigella damascena,,love-in-a-mist,nigella,ranunculaceae,ranunculales,dicots,,,hemicryptophyte,kintbury,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
nolina parviflora,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,singapore,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nymphaea alba,,white waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nymphaea ampla,,dotleaf waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,lombok,herb,,Central America,,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nymphaea mexicana,,yellow waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,gloucester,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nymphaea nouchali,,blue lotus,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hydrophyte,yogyakarta,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nymphaea rubra,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hemicryptophyte,bandung,herb,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
nyssa sylvatica,,tupelo,nyssa,nyssaceae,cornales,dicots,tupelos,,phanerophyte,kew,tree,Eastern United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
ochna serrulata,,small-leaved plane,ochna,ochnacea,malpighiales,dicots,,,phanerophyte,yogyakarta,shrub,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ocimum basilicum,,sweet basil,ocimum,lamiaceae,lamiales,dicots,basils,mints,hemicryptophyte,Expo,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
oclemena acuminata,,whorled wood aster,oclomena,asteraceae,asterales,dicots,,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
olea europea,,olive,olea,oleaceae,lamiales,dicots,olives,olive,chamaephyte,Kempinski,tree,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
oncidium sphacelatum,,kandyan dancer orchid,onchidium,orchidaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
onoclea sensibilis,,sensitive fern,onoclea,onocleaceae,polypodiales,ferns,onoclea,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
ononis natrix,,yellow restharrow,ononis,fabaceae,fabales,dicots,,legumes,hemicryptophyte,umm qais,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
opuntia cochenillifera,,cochineal nopal cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,hemicryptophyte,Amman garden,herb,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
opuntia ficus-indica,,cactus pear,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,hemicryptophyte,azraq,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
opuntia microdasys,,bunny ears cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,,hemicryptophyte,,herb,,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
origanum vulgare,,oregano,origanum,lamiaceae,lamiales,dicots,,,hemicryptophyte,london,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ornithogalum umbellatum,,common star of bethlehem,ornithogalum,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
oryza sativa,,rice,oryza,poaceae,poales,monocots,,grasses,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
oxalis corniculata,,creeping woodsorrel,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,kintbury,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
oxalis pes-caprae,,bermuda buttercup,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,Turqoise mtn,herb,,Africa,southern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
oxalis triangularis,,false shamrock,oxalis,oxalidaceae,oxalidales,dicots,,,hemicryptophyte,kintbury,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
pachira aquatica,,provision tree,pachira,malvaceae,malvales,dicots,pachira,,phanerophyte,montreal house,tree,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
pachycereus pringlei,,mexican giant cactus,pachycereus,cactaceae,caryophyllales,dicots,,,hemicryptophyte,,herb,,North America,northern,Wild,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
paeonia officinalis,,common peony,paeonia,paeoniaceae,saxifragales,dicots,peonies,,hemicryptophyte,greenwich,herb,,Europe,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
papaver rhoeas,,scarlet poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,hemicryptophyte,Fifty plants,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
papaver somniferum,,opium poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
parthenocissus inserta,,thicket creeper,parthenocissus,vitaceae,vitales,dicots,virgin creepers,,phanerophyte,greenwich,vine,,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
parthenocissus tricuspidata,,japanese creeper,Parthenocissus,vitaceae,vitales,dicots,,,phanerophyte,Bermondsey,vine,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
parthernocissus quinquefolia,,virginia creeper,parthenocissus,vitaceae,vitales,dicots,,grapevines,phanerophyte,amman,vine,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
paspalum notatum,,bahia grass,paspalum,poaceae,poales,monocots,,grasses,hemicryptophyte,Expo,herb,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
passiflora caerulea,,bluecrown passionflower,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,phanerophyte,embassy garden,vine,,South America,southern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
passiflora edulis,,common passionfruit,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,phanerophyte,yarmouk river,vine,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
paulownia tomentosa,,princess tree,paulownia,paulowniaceae,lamiales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
pelargonium myrrhifolium,,myrrhleaf storksbill,pelargonium,geraniaceae,geraniales,dicots,,geraniums,hemicryptophyte,Scandinavian forest,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
pelargonium peltatum,,ivy geranium,pelargonium,geraniaceae,geraniales,dicots,,,hemicryptophyte,,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
pelargonium x hybridum,,garden geranium,pelargonium,geraniaceae,geraniales,dicots,,geraniums,hemicryptophyte,office,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
peltandra virginica,,green arrow arum,peltandra,araceae,alismatales,monocots,,,hemicryptophyte,jakarta,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
pennisetum setaceum,,fountain grass,pennisetum,poaceae,poales,monocots,fountain grasses,grasses,hemicryptophyte,Expo,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,avocadoes,,phanerophyte,Fifty plants,tree,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,,,phanerophyte,bandung,tree,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
petrea volubilis,,queen's wreath,petrea,verbenaceae,lamiales,dicots,,,phanerophyte,yogyakarta,vine,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
petunia x atkinsiana,,garden petunia,petunia,solanaceae,solanales,dicots,,,hemicryptophyte,,herb,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
phellodendron amurense,,amur corktree,phellodendron,rutaceae,sapindales,dicots,corktrees,,phanerophyte,greenwich,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
phleum pratense,,timothy grass,phleum,poaceae,poales,monocots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
phlomis fruticosa,,jerusalem sage,phlomis,lamiaceae,lamiales,dicots,,mints,phanerophyte,Office,shrub,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
phlox paniculata,,garden phlox,phlox,polemoniaceae,ericales,dicots,,,hemicryptophyte,london,herb,Eastern United States,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
pheonix dactylifera,,date palm,phoenix,arecaceae,arecales,monocots,,palms,phanerophyte,Expo,tree,,,,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
photinia x fraseri,,red tip photinia,photinia,rosaceae,rosales,dicots,,roses,phanerophyte,Office,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
